2023-04-30 01:23:58.765 [main] INFO  org.apache.jasper.servlet.TldScanner - DirectJDKLog.log:173 - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2023-04-30 01:23:58.780 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/noteassets] - DirectJDKLog.log:173 - Initializing Spring embedded WebApplicationContext
2023-04-30 01:23:58.781 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - ServletWebServerApplicationContext.prepareWebApplicationContext:285 - Root WebApplicationContext: initialization completed in 2152 ms
2023-04-30 01:23:59.051 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - ExecutorConfigurationSupport.initialize:181 - Initializing ExecutorService 'applicationTaskExecutor'
2023-04-30 01:23:59.248 [main] INFO  org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping - WelcomePageHandlerMapping.<init>:58 - Adding welcome page template: index
2023-04-30 01:23:59.391 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - DirectJDKLog.log:173 - Starting ProtocolHandler ["http-nio-9090"]
2023-04-30 01:23:59.441 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - TomcatWebServer.start:220 - Tomcat started on port(s): 9090 (http) with context path '/noteassets'
2023-04-30 01:23:59.463 [main] INFO  com.portal.MainApp - StartupInfoLogger.logStarted:61 - Started MainApp in 3.545 seconds (JVM running for 4.29)
2023-04-30 01:24:06.947 [http-nio-9090-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/noteassets] - DirectJDKLog.log:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-30 01:24:06.947 [http-nio-9090-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet.initServletBean:525 - Initializing Servlet 'dispatcherServlet'
2023-04-30 01:24:06.960 [http-nio-9090-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet.initServletBean:547 - Completed initialization in 12 ms
2023-04-30 01:25:36.180 [main] INFO  com.portal.MainApp - MainApp.main:38 - contex :: /noteassets
2023-04-30 01:25:36.184 [main] INFO  com.portal.MainApp - MainApp.test:49 - ****************** Test ***************
2023-04-30 01:25:36.441 [main] INFO  org.springframework.boot.devtools.restart.RestartApplicationListener - RestartApplicationListener.onApplicationStartingEvent:77 - Restart disabled due to System property 'spring.devtools.restart.enabled' being set to false
2023-04-30 01:25:36.964 [main] INFO  com.portal.MainApp - StartupInfoLogger.logStarting:55 - Starting MainApp on DESKTOP-EVVDSQV with PID 7528 (D:\Wokspace\OWN_NOTEASSETS\note_assets\client_portal\target\classes started by Maddy in D:\Wokspace\OWN_NOTEASSETS\note_assets\client_portal)
2023-04-30 01:25:36.966 [main] INFO  com.portal.MainApp - SpringApplication.logStartupProfileInfo:651 - No active profile set, falling back to default profiles: default
2023-04-30 01:25:37.052 [main] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - DeferredLog.logTo:225 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-04-30 01:25:38.777 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - TomcatWebServer.initialize:108 - Tomcat initialized with port(s): 9090 (http)
2023-04-30 01:25:38.791 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - DirectJDKLog.log:173 - Initializing ProtocolHandler ["http-nio-9090"]
2023-04-30 01:25:38.792 [main] INFO  org.apache.catalina.core.StandardService - DirectJDKLog.log:173 - Starting service [Tomcat]
2023-04-30 01:25:38.792 [main] INFO  org.apache.catalina.core.StandardEngine - DirectJDKLog.log:173 - Starting Servlet engine: [Apache Tomcat/9.0.36]
2023-04-30 01:25:39.179 [main] INFO  org.apache.jasper.servlet.TldScanner - DirectJDKLog.log:173 - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
